step,curriculum_stage,operand_digits,prompt,reward_mean,loss,grad_norm,parity_max,parity_p99,parity_mean,parity_tail_tokens,active_completion_tokens,peak_vram_gib,rollout_sha256
11,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2861554 + 2979128 = || Compute the sum. Reply with ONLY the integer, nothing else.
6268175 + 9784296 =",1.0,0.0,0.0,1.578475348651409e-05,1.578475348651409e-05,1.9851752313115867e-06,0,68,4.577901840209961,439a0677d776fd166f02a2c489957009fef00403bc990c405228deba8bc34be8
12,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
18658459 + 72718605 = || Compute the sum. Reply with ONLY the integer, nothing else.
57128407 + 85326639 =",1.0,0.0,0.0,0.00019074697047472,0.00019074697047472,1.4879236914566718e-05,0,76,4.601423263549805,56a9e5ebaf58cf7fc528a7447f4307df02a7a38a437bd92a6b96489e830bc39e
13,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
36487978 + 30919407 = || Compute the sum. Reply with ONLY the integer, nothing else.
46560039 + 25436362 =",0.875,2.9802322387695312e-08,2.433767318725586,0.013570308685302734,0.00539423106238246,0.00027993094408884645,0,72,4.601423263549805,ac1afc222aeb0a64524fc102b231c55f2b020e0f484368c00d0f13d2a6676c2f
14,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
69005351 + 42367608 = || Compute the sum. Reply with ONLY the integer, nothing else.
44971247 + 98226826 =",0.5,0.0,0.0,0.04115021228790283,0.025507835671305656,0.002371658105403185,0,80,4.601423263549805,7b0d5713e62733166a23d130924582978c72945d7b40b52038fa033d7bb334e2
15,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
63969770 + 17610430 = || Compute the sum. Reply with ONLY the integer, nothing else.
53003134 + 58317682 =",0.5,0.0,0.0,0.058683693408966064,0.05268940329551697,0.003304007463157177,0,76,4.601423263549805,7a9bcde5d84d903a34302c23470b2663bc93f3d3850b663ab43bad3d251c64fa
16,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
67709766 + 46194901 = || Compute the sum. Reply with ONLY the integer, nothing else.
49526684 + 89625281 =",0.875,7.450580596923828e-09,8.756340026855469,0.056038618087768555,0.01687253825366497,0.0009660706855356693,0,80,4.601423263549805,b8c730ab4896947a38a0f11a8e9e197eb18d80eb61c5e3082eeadb465516da91
17,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
65333157 + 58357892 = || Compute the sum. Reply with ONLY the integer, nothing else.
71454989 + 20515437 =",0.125,-2.9802322387695312e-08,3.323528528213501,0.21843242645263672,0.07555222511291504,0.006302718073129654,1,76,4.601423263549805,d8a2b2bda051d244ec49e259b57900874b4cb5caf3a443cbb7878952600abba6
18,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
81633137 + 38841084 = || Compute the sum. Reply with ONLY the integer, nothing else.
46533396 + 49734169 =",1.0,0.0,0.0,5.746667739003897e-06,5.746667739003897e-06,1.0313065104128327e-06,0,76,4.601423263549805,8b227c7335546514c29df7f07bf346fc2e3ff8841f0a21baa6e2bbf8ae85789e
19,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
28905808 + 23962539 = || Compute the sum. Reply with ONLY the integer, nothing else.
10255442 + 79948830 =",0.5,0.0,0.0,0.03014850616455078,0.028446637094020844,0.0016164795961230993,0,72,4.601423263549805,40c387297f48d94f578c9c53075d6b175fc5af5aa9fc8ac598171949813f3de3
20,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
27832251 + 84360942 = || Compute the sum. Reply with ONLY the integer, nothing else.
83031089 + 97212934 =",0.25,0.0,5.305846214294434,0.05452132225036621,0.05452132225036621,0.0016178319929167628,0,80,4.601423263549805,b4da7104c5157aae8a9aa65f51f72c2c29d05929be731fb064e6f9d7dc530adc
21,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
40891839 + 23063850 = || Compute the sum. Reply with ONLY the integer, nothing else.
29112408 + 49368892 =",1.0,0.0,0.0,0.00026570260524749756,0.00026570260524749756,1.5770941899972968e-05,0,72,4.601423263549805,0821171133444060cc28456e2fe5218f8b3ca01fb82bfa1667d6455c9096b5d5
22,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
34219196 + 63292379 = || Compute the sum. Reply with ONLY the integer, nothing else.
65531757 + 34172875 =",0.5,0.0,0.0,0.0007982626557350159,0.0007982626557350159,0.00011340374476276338,0,76,4.601423263549805,9a95418c633cb9b558e502115ea13e5eb12edee9d6800df61832990f194c2c86
23,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
46234764 + 77934547 = || Compute the sum. Reply with ONLY the integer, nothing else.
30793158 + 21768953 =",0.625,-7.450580596923828e-09,7.544978618621826,0.016964197158813477,0.016964197158813477,0.0013131368905305862,0,76,4.601423263549805,5a923fa91bc51bd7225c0aceac771f2fa692266ec629415c17f8e97de513c1ff
