step,curriculum_stage,operand_digits,prompt,reward_mean,loss,grad_norm,parity_max,parity_p99,parity_mean,parity_tail_tokens,active_completion_tokens,peak_vram_gib,rollout_sha256
10,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
3129064 + 5869730 = || Compute the sum. Reply with ONLY the integer, nothing else.
3800525 + 1384667 =",0.5,0.0,0.0,0.004220843315124512,0.002549838274717331,0.00021611613919958472,0,64,4.539801597595215,47b672bbb19de8329fdfe012d741d999e36754c2cebd488515ad8946b17ba222
11,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8053821 + 5591252 = || Compute the sum. Reply with ONLY the integer, nothing else.
5557407 + 5223137 =",0.5,0.0,0.0,0.007263988256454468,0.007263988256454468,0.0004403266357257962,0,72,4.539801597595215,2bd50c6349ea9e8e90092a274a6a2d73d0a726b16e4a8a27742dc22f9ca336d6
12,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
87532457 + 79307570 = || Compute the sum. Reply with ONLY the integer, nothing else.
62077248 + 34048301 =",0.5,0.0,0.0,0.12150120735168457,0.12150120735168457,0.004528373945504427,0,76,4.601423263549805,034d7145f35e5eff08877f4f3d91689c353e456861171947b2d7c7f041a5c709
13,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
30541972 + 96486494 = || Compute the sum. Reply with ONLY the integer, nothing else.
22782602 + 25152257 =",0.125,-2.9802322387695312e-08,17.9885311126709,0.055419087409973145,0.055419087409973145,0.0024946709163486958,0,76,4.601423263549805,59ca8eb66b1411a8a2aa50e18556558c96e7cfe7abcb8e06209c597825507339
14,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
86506284 + 70607883 = || Compute the sum. Reply with ONLY the integer, nothing else.
15208814 + 98749076 =",0.5,0.0,0.0,0.042326927185058594,0.042326927185058594,0.0018650584388524294,0,80,4.601423263549805,67cea4750ad867299d8f20a2a8b0a8b28955eb07cfff3c39e538840b571c383a
15,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
58117081 + 21198252 = || Compute the sum. Reply with ONLY the integer, nothing else.
81911052 + 97141063 =",0.5,0.0,0.0,0.006930410861968994,0.006930410861968994,0.0005560402642004192,0,76,4.601423263549805,b96d899026b33195767bccc551f87766df884493674388939d20064dbe536291
16,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
48514242 + 30997057 = || Compute the sum. Reply with ONLY the integer, nothing else.
53854457 + 43459568 =",0.875,2.9802322387695312e-08,4.374131202697754,0.009582221508026123,0.009228475391864777,0.0007188438903540373,0,72,4.601423263549805,63c88a5da44067b67dc820c812b9d8a25d1ece4c5cbfdf57998d9dd5c106d7a4
17,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
43475822 + 46247231 = || Compute the sum. Reply with ONLY the integer, nothing else.
74336336 + 49897521 =",0.5,0.0,0.0,0.017217285931110382,0.017217285931110382,0.0015548653900623322,0,76,4.601423263549805,fc8c8ef680349c7c0e7a42c0b5eb2fb0687e6d621d4a9505d94ff22ec2949286
18,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
64577934 + 65772870 = || Compute the sum. Reply with ONLY the integer, nothing else.
56737811 + 57203533 =",0.0,0.0,0.0,0.006375864148139954,0.006375864148139954,0.0005178278661333025,0,80,4.601423263549805,bd92b64db67d99fdf97eaed990c6e76947d234f3918d1c0542fbe9544d7b9bd0
19,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
19367057 + 90092975 = || Compute the sum. Reply with ONLY the integer, nothing else.
25958905 + 30725711 =",0.5,0.0,0.0,0.25148510932922363,0.11287087202072144,0.006483300123363733,1,76,4.601423263549805,04f0d881c3158bd2d354f6da65ed3bd8f306c61be3af7d640b972c6c0567f055
20,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
97477360 + 75280118 = || Compute the sum. Reply with ONLY the integer, nothing else.
96326824 + 92971213 =",1.0,0.0,0.0,0.00040031736716628075,0.00040031736716628075,2.1775296772830188e-05,0,80,4.601423263549805,e6c5347f3b757defbb5a0f233072f0847e58b567a3da5fd4d310795b1628508f
21,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
26717811 + 77363208 = || Compute the sum. Reply with ONLY the integer, nothing else.
46258022 + 45872904 =",1.0,0.0,0.0,0.01056554913520813,0.01056554913520813,0.0008726782980374992,0,76,4.601423263549805,c81db1e4d62a1c77a98b9871f2c41358c016cb825ad788468629f75b5dfc8897
22,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
85010760 + 48017490 = || Compute the sum. Reply with ONLY the integer, nothing else.
33358874 + 46059291 =",0.75,0.0,3.765298366546631,0.0263059139251709,0.0263059139251709,0.0016483747167512774,0,76,4.601423263549805,e9e53cd3bc5949396a0915bead4f22a13b93ebf6c26d1500734012215ff87f63
23,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
37292493 + 40035250 = || Compute the sum. Reply with ONLY the integer, nothing else.
28823578 + 42913371 =",0.5,0.0,0.0,0.014308139681816101,0.014308139681816101,0.0008061392582021654,0,72,4.601423263549805,2c9caa5831d37bb384470227dda8d373d42ad701591322f889a2d55da7fa3566
