step,curriculum_stage,operand_digits,prompt,reward_mean,loss,grad_norm,parity_max,parity_p99,parity_mean,parity_tail_tokens,active_completion_tokens,peak_vram_gib,rollout_sha256
10,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8550272 + 1773240 = || Compute the sum. Reply with ONLY the integer, nothing else.
2639694 + 7484663 =",0.625,-2.9802322387695312e-08,10.033714294433594,0.06882095336914062,0.037657760083675385,0.002417796291410923,0,72,4.540144920349121,b855b060b738368b4996fed3df6ef37eb21b9ad2c6ce2432c387360e944e88d5
11,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8194374 + 8036004 = || Compute the sum. Reply with ONLY the integer, nothing else.
1618541 + 8829218 =",0.5,0.0,0.0,0.021085023880004883,0.021085023880004883,0.0008789259591139853,0,72,4.540144920349121,b2388b195baeaecd1996ef7b9a0d779d2e454d5cfb1e5200f4f5cb71bafcd6a0
12,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
95460293 + 81823765 = || Compute the sum. Reply with ONLY the integer, nothing else.
28938350 + 54551249 =",0.75,0.0,3.179372787475586,0.04408001899719238,0.04408001899719238,0.002401330042630434,0,90,4.8730363845825195,e1c384058cf58ca21ed72dd43581deba55bbe82a9c27a1b21cf50309b00183a2
13,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
22330283 + 97824330 = || Compute the sum. Reply with ONLY the integer, nothing else.
28154609 + 40949158 =",0.5,0.0,0.0,0.022472023963928223,0.017036348581314087,0.0019275557715445757,0,76,4.8730363845825195,cee0a0b26d5ae5089c458a3563d2ed97a9c22b83715f70ac700320dd54a45041
14,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
91473619 + 90830503 = || Compute the sum. Reply with ONLY the integer, nothing else.
59068261 + 43830850 =",0.375,7.450580596923828e-09,3.8422977924346924,0.003277890384197235,0.003277890384197235,0.00028362683951854706,0,80,4.8730363845825195,2614ac1b9fa1d4920784ecf8b73274f19d04d96a5206b0c177f6bb73c9d86482
15,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
61697220 + 64562566 = || Compute the sum. Reply with ONLY the integer, nothing else.
34147447 + 99792802 =",0.5,0.0,0.0,0.04249763488769531,0.03707011416554451,0.0018618000904098153,0,80,4.8730363845825195,1d8af7fdce7694775174589d4fb2717bd48bed08c4880c7e2bcb113da4d2cf16
16,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
55407644 + 69422822 = || Compute the sum. Reply with ONLY the integer, nothing else.
92772549 + 70485365 =",1.0,0.0,0.0,6.89785520080477e-06,6.89785520080477e-06,1.5011318055258016e-06,0,80,4.8730363845825195,75bee64e1a64740366e8120680524d901bfb6762106ecbde686aae20c6edd564
17,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
97653694 + 57084050 = || Compute the sum. Reply with ONLY the integer, nothing else.
28406704 + 33536256 =",0.25,-2.9802322387695312e-08,11.824502944946289,0.08488070964813232,0.05159950256347656,0.0038881711661815643,0,72,4.8730363845825195,1e1607370626d14d20675b9ec7d89e46e3dcadbadcbb50d095bc836f989539fc
18,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
35866549 + 90740703 = || Compute the sum. Reply with ONLY the integer, nothing else.
80271993 + 65371437 =",0.75,0.0,23.06814193725586,0.09096837043762207,0.09096837043762207,0.003132588928565383,0,80,4.8730363845825195,f6438ed22c05a19ddde730aff39b0d7cab1199ca26a6b5c3e07219d4ba2190d1
19,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
81509765 + 32903252 = || Compute the sum. Reply with ONLY the integer, nothing else.
10128155 + 94022803 =",0.125,-7.450580596923828e-09,6.765469551086426,0.08731889724731445,0.08731889724731445,0.004069435875862837,0,80,4.8730363845825195,960fcadcd170dd1ab6c2445f9f2d56d085f2548c3c8757a62594753b9f05d4a8
20,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
56726433 + 52654463 = || Compute the sum. Reply with ONLY the integer, nothing else.
88585435 + 95058885 =",1.0,0.0,0.0,0.006207063794136047,0.006207063794136047,0.0004613916389644146,0,80,4.8730363845825195,dd595c3dd68e2f89e79d01827c58a9a9229385577b0c89a60486b2a2a56c912d
21,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
38102349 + 41501313 = || Compute the sum. Reply with ONLY the integer, nothing else.
12756581 + 87722904 =",0.5,0.0,0.0,0.003351224586367607,0.003351224586367607,0.0003219956124667078,0,76,4.8730363845825195,11df40a930f2f4d857b4d163788c98f05ae424438905d5c906e248307fb85380
22,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
32826457 + 27760124 = || Compute the sum. Reply with ONLY the integer, nothing else.
10397869 + 70489558 =",1.0,0.0,0.0,0.0023084916174411774,0.0023084916174411774,0.0001396156585542485,0,72,4.8730363845825195,e0c548a20f1119f60b7435262d20b5a8aa9a950a7a5d09ee43f11ecebf3d61b5
23,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
66099625 + 73615532 = || Compute the sum. Reply with ONLY the integer, nothing else.
41561575 + 76913827 =",0.875,7.450580596923828e-09,1.8734194040298462,0.049337685108184814,0.049337685108184814,0.00274959160014987,0,80,4.8730363845825195,cde2d273d79b4c458303102089b1869bd2dca8892024dacf9dd8c38121341490
